Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"is-fullwidth-code-point@2.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"slice-ansi@2.1.0"
"camelcase@5.3.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"load-nyc-config@1.1.0"
"error-ex@1.3.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"parse-json@5.2.0"
"json-parse-even-better-errors@2.3.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"parse-json@5.2.0"
"lines-and-columns@1.2.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"parse-json@5.2.0"
"clone@1.0.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"defaults@1.0.4"
"setprototypeof@1.2.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"http-errors@2.0.1"
"toidentifier@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"http-errors@2.0.1"
"safer-buffer@2.1.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"iconv-lite@0.4.24"
"ee-first@1.1.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"on-finished@2.4.1"
"es-define-property@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"qs@6.15.3, call-bind@1.0.9, es-abstract@1.24.2, get-intrinsic@1.3.0, has-property-descriptors@1.0.2, define-data-property@1.1.4, es-to-primitive@1.3.4, function.prototype.name@1.2.0"
"media-typer@0.3.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"type-is@1.6.18"
"mime-types@2.1.35","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"type-is@1.6.18, accepts@1.3.8"
"encodeurl@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"finalhandler@1.1.2"
"statuses@1.5.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"finalhandler@1.1.2"
"fresh@0.5.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Unknown
"brace-expansion@5.0.7","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"minimatch@10.2.5"
"call-bind-apply-helpers@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"call-bind@1.0.9, call-bound@1.0.4, get-intrinsic@1.3.0, dunder-proto@1.0.1"
"set-function-length@1.2.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"call-bind@1.0.9"
"define-data-property@1.1.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"define-properties@1.2.1, iterator.prototype@1.1.5, set-function-name@2.0.2, set-function-length@1.2.2, string.prototype.trim@1.2.11"
"array-buffer-byte-length@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, arraybuffer.prototype.slice@1.0.4"
"arraybuffer.prototype.slice@1.0.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
"available-typed-arrays@1.0.7","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2, typed-array-byte-offset@1.0.4, which-typed-array@1.1.22"
"data-view-buffer@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"es-abstract@1.24.2"
